-9.590455672604479176e+00,6.730053456892102659e+00
-9.590455672604479176e+00,7.456110744417466130e+00
-9.186005672604478534e+00,8.345900744417484418e+00
-8.689509994485820954e+00,8.882841422536138509e+00
-8.193014316367161598e+00,9.419782100654794377e+00
-7.545894316367161458e+00,9.824232100654791466e+00
-6.669585983033828214e+00,1.021969432287701274e+01
-5.793277649700494969e+00,1.061515654509923579e+01
-4.916969316367161724e+00,1.101061876732145706e+01
-4.040660983033828479e+00,1.140608098954367833e+01
-3.164352649700494347e+00,1.180154321176590138e+01
-2.288044316367161990e+00,1.219700543398812265e+01
-1.411735983033828745e+00,1.259246765621034569e+01
-5.354276497004955004e-01,1.298792987843256697e+01
3.408806836328386325e-01,1.338339210065478824e+01
1.217189016966172765e+00,1.377885432287701128e+01
2.093497350299506898e+00,1.417431654509923433e+01
2.969805683632837479e+00,1.456977876732145560e+01
3.846114016966171612e+00,1.496524098954367687e+01
4.722422350299503968e+00,1.536070321176589815e+01
5.598730683632838101e+00,1.575616543398811942e+01
6.475039016966170458e+00,1.615162765621034424e+01
7.351347350299504591e+00,1.654708987843256551e+01
8.227655683632837835e+00,1.694255210065478678e+01
8.928702350299504431e+00,1.715825876732145261e+01
9.629749016966171027e+00,1.737396543398812199e+01
1.033079568363283762e+01,1.758967210065478781e+01
1.105782932739552216e+01,1.758967210065478781e+01
1.178486297115820669e+01,1.758967210065478781e+01
1.235109297115820759e+01,1.742789210065478755e+01
1.291732297115820849e+01,1.726611210065478730e+01
1.365648864927686468e+01,1.664828142253612953e+01
1.439565432739552087e+01,1.603045074441747531e+01
1.499129887285006646e+01,1.527302619896292946e+01
1.558694341830461205e+01,1.451560165350838361e+01
1.618258796375915765e+01,1.375817710805383776e+01
1.677823250921370146e+01,1.300075256259929191e+01
1.737387705466824883e+01,1.224332801714474606e+01
1.796952160012279265e+01,1.148590347169020021e+01
1.856516614557733647e+01,1.072847892623565436e+01
1.916081069103188383e+01,9.971054380781108506e+00
1.975645523648642765e+01,9.213629835326564432e+00
2.035209978194097147e+01,8.456205289872016806e+00
2.094774432739551884e+01,7.698780744417470956e+00
