-9.071024855557949351e+00,6.169905352320189884e+00
-9.390455672604478110e+00,6.812175136346049875e+00
-9.309565672604477982e+00,7.649369409335194270e+00
-9.028515264081214298e+00,8.115929129162289257e+00
-8.747464855557950614e+00,8.582488848989383357e+00
-8.105258229725247787e+00,9.103360474822085990e+00
-7.463051603892543184e+00,9.624232100654790401e+00
-6.586783327949247813e+00,1.001969432287701167e+01
-5.710515052005952441e+00,1.041515654509923472e+01
-4.834246776062657069e+00,1.081061876732145599e+01
-3.957978500119361254e+00,1.120608098954367904e+01
-3.081710224176065438e+00,1.160154321176590031e+01
-2.205441948232770955e+00,1.199700543398812158e+01
-1.329173672289473807e+00,1.239246765621034463e+01
-4.529053963461793231e-01,1.278792987843256768e+01
4.233628795971160486e-01,1.318339210065478895e+01
1.299631155540412308e+00,1.357885432287701022e+01
2.175899431483708568e+00,1.397431654509923327e+01
3.052167707427001275e+00,1.436977876732145454e+01
3.928435983370297535e+00,1.476524098954367759e+01
4.804704259313595571e+00,1.516070321176589886e+01
5.680972535256890055e+00,1.555616543398812190e+01
6.557240811200184538e+00,1.595162765621034495e+01
7.433509087143480798e+00,1.634708987843256622e+01
8.309777363086775281e+00,1.674255210065478749e+01
9.010824029753441877e+00,1.695825876732145332e+01
9.711870696420110249e+00,1.717396543398812270e+01
1.041291736308677685e+01,1.738967210065478852e+01
1.105782932739552216e+01,1.738967210065478852e+01
1.170274129170426747e+01,1.738967210065478852e+01
1.226861077519393106e+01,1.722789210065478827e+01
1.283448025868359288e+01,1.706611210065478801e+01
1.351713188451629222e+01,1.650479547482208531e+01
1.419978351034899156e+01,1.594347884898938084e+01
1.477949517701565796e+01,1.522895051565605051e+01
1.535920684368232436e+01,1.451442218232271841e+01
1.593891851034899076e+01,1.379989384898938809e+01
1.651863017701565894e+01,1.308536551565605777e+01
1.709834184368232712e+01,1.237083718232272567e+01
1.767805351034899175e+01,1.165630884898939534e+01
1.823080184368232537e+01,1.092829884898939241e+01
1.878355017701565899e+01,1.020028884898938948e+01
1.933629851034899261e+01,9.472278848989386546e+00
1.988904684368232623e+01,8.744268848989381837e+00
2.044179517701565985e+01,8.016258848989378905e+00
2.099454351034899346e+01,7.288248848989375972e+00
2.147424273736157119e+01,6.566560604461472828e+00
2.195394196437414536e+01,5.844872359933569683e+00
2.243364119138672308e+01,5.123184115405666539e+00
2.293284290830664318e+01,4.623982398485753542e+00
2.343204462522656684e+01,4.124780681565839657e+00
2.393124634214648694e+01,3.625578964645926661e+00
2.461612281991624940e+01,3.238943602773656671e+00
2.530099929768601186e+01,2.852308240901386682e+00
2.620954860872090464e+01,2.550020999445530734e+00
2.711809791975580097e+01,2.247733757989674785e+00
2.802664723079069375e+01,1.945446516533818393e+00
2.869327626299230261e+01,1.862635044574140863e+00
2.935990529519391501e+01,1.779823572614463112e+00
3.002653432739552386e+01,1.697012100654785582e+00
3.087897702898368735e+01,1.743916050294950448e+00
3.173141973057185083e+01,1.790819999935115092e+00
3.260330200021709146e+01,2.185539286837637984e+00
3.347518426986232498e+01,2.580258573740161321e+00
3.434706653950756561e+01,2.974977860642684213e+00
3.521894880915280623e+01,3.369697147545207550e+00
3.609083107879803975e+01,3.764416434447730442e+00
3.696271334844328038e+01,4.159135721350253334e+00
3.752385485509738317e+01,4.670697893824536706e+00
3.808499636175149305e+01,5.182260066298820078e+00
3.852200227016550116e+01,6.080365222125905689e+00
3.895900817857950216e+01,6.978470377952991299e+00
3.918678357028392156e+01,7.768227023103720263e+00
3.941455896198834807e+01,8.557983668254449228e+00
3.964233435369276748e+01,9.347740313405179080e+00
3.987010974539718688e+01,1.013749695855590716e+01
3.982392808675618312e+01,1.084286223119350723e+01
3.977774642811518646e+01,1.154822750383110730e+01
3.947364785431014411e+01,1.224042204312157800e+01
3.916954928050510887e+01,1.293261658241204692e+01
3.886545070670006652e+01,1.362481112170251762e+01
3.838283560059971933e+01,1.443855835359817519e+01
3.790022049449936503e+01,1.525230558549383097e+01
3.741760538839901784e+01,1.606605281738948676e+01
3.693499028229866354e+01,1.687980004928514433e+01
3.645237517619831635e+01,1.769354728118080189e+01
3.596976007009796916e+01,1.850729451307645945e+01
